Nome;Time;"Num gols"
"Jonathan Floriano";"Ascel Certificados";1
"Leonardo dos Santos";"Ascel Certificados";1
"Tulio Eduardo Eichelberger";QKQDO;2
"Maiquel Behm";"Négo FC";1
"Renato Fabiano da Silva Rosa";"Négo FC";1
"Matheus Rauber";"Négo FC";1
"Ewerson Calescura";"SB Esportes Futsal";1
"Raul Luis Giehl";"SB Esportes Futsal";1
"Anderson Borba";"Juventus/RM Azulejos/JVS Estruturas";1
"Gustavo Silva";"Juventus/RM Azulejos/JVS Estruturas";1
"Cassio Alves dos Santos";QVS;1
"Eduardo Theisen Treibt";"Arly Hickmann/Sky";3
"Jeferson Sebastião Ferreira";"Arly Hickmann/Sky";2
"Pedro Cassiano Ferreira da Rosa";QVS;2
"Christian Bugs";"Matilha Alliance Futsal";1
"Rafael Back";Juventude;1
"Nicolas Faleiro";"Juventus Futsal";2
"David Aguiar de Lima Gonçalves";"Arly Hickmann/Sky";2
"João Luis Costa Neto";"Négo FC";2
"Gregório Daniel Azeredo Marques";"Négo FC";3
"Gabriel Renz";QVS;2
"Leonardo Santos da Rosa";"Matilha Alliance Futsal";2
"Wellington Allgayer";"Ascel Certificados";3
"Seomar Perin Kohls";Juventude;4
"Vinicius Andriel Vilante";"Matilha Alliance Futsal";2
"Alexandre da Costa Lopes";"Matilha Alliance Futsal";5
"Gabriel Estreich";"TCC/Califórnia Lanches";5
"Sandro Henrique Lenhardt";QKQDO;2
"Paulo Roberto Campos";"SB Esportes Futsal";2
"João Vitor Davis";"Ascel Certificados";4
"Kennedy Ezequiel da Silva";"TCC/Califórnia Lanches";3
"Cassio Rauber";"Elo Imobiliária";1
"Jorge Luiz da Silva";"Elo Imobiliária";1
"Dyeferson Luis da Costa da Silva";"WE Futsal";3
"Dionatha Henrique da Rosa Felipe";"WE Futsal";1
"Josiel do Carmo Vieira";"WE Futsal";1
"Emerson dos Santos";Futicanela/Intercompi/Engetec;1
"Jonathan Nunes";"J&C Modas";1
"Diego Fernando Ferreira";"A Fúria/La Plata Distribuidora/JT Novidades";1
"Douglas Alencar";"A Fúria/La Plata Distribuidora/JT Novidades";1
"Edson Macedo";"Elo Imobiliária";1
"Henrique Etges Filho";"Elo Imobiliária";2
"Leonardo Kappel";"Juventus Futsal";3
"Bruno Arthur Schneider";"Os Guri/Wollmann";1
"Marcos Weber";QKQDO;2
"Murilo dos Santos";"Elias Mello Fotografias";4
"Micael Baum dos Santos";"Elias Mello Fotografias";1
"Lucas Eduardo Ernsen";"Elias Mello Fotografias";1
"Guilherme dos Santos";Futicanela/Intercompi/Engetec;4
"Eduardo Severo";Futicanela/Intercompi/Engetec;1
"Nicholas Henrique Ferreira da Rosa";QVS;1
"Guilherme Masera";"J&C Modas";1
"Mateus Viana";"J&C Modas";1
"Emerson Luiz Pires Silveira";"Matilha Alliance Futsal";1
"Gabriel Santos";"SB Esportes Futsal";1
"Carlos Eduardo Batista de Oliveira";"Ascel Certificados";2
"Ricardo Zarth";"A Fúria/La Plata Distribuidora/JT Novidades";4
"Jeferson Wessling";"A Fúria/La Plata Distribuidora/JT Novidades";1
"Geisson Miorando";QVS;2
"Robson Rasquinha";QVS;1
"Daniel Wunsch";Futicanela/Intercompi/Engetec;5
"Maique Uelinton Schereda Bairos";Futicanela/Intercompi/Engetec;2
"Dalmir Conceição";"A Fúria/La Plata Distribuidora/JT Novidades";1
"Anderson Silva";"A Fúria/La Plata Distribuidora/JT Novidades";2
"Renan Mantz";"Juventus/RM Azulejos/JVS Estruturas";2
"Matheus Gonçalves";"Juventus/RM Azulejos/JVS Estruturas";1
"Filipi Castilhos Alves";"J&C Modas";4
"Kessy Jones Leotti Vieira";"J&C Modas";1
"Marco Aurelio Jantsch";"J&C Modas";1
"Carlos Antonio Machado Moreira";"Négo FC";1
"Luiz Eduardo Lehmen";"SB Esportes Futsal";1
"Rafael Augusto Storch";"Os Guri/Wollmann";1
"Marco Antonio Schweikardt";"Os Guri/Wollmann";5
"Evandro Frohlich";"Os Guri/Wollmann";1
"Marcus Konzen";"Elo Imobiliária";9
"Rodolfo Azevedo";"Elo Imobiliária";2
"Volnei Ruaro";QKQDO;1
"Arthur Luis Braun";QKQDO;1
"Jackson Fabricio dos Santos";"Ascel Certificados";1
"Erick Hinterholz";"Elias Mello Fotografias";1
"Fernando Vargas";"Elias Mello Fotografias";2
"Leandro Natanael de Oliveira";"WE Futsal";1
"Alessander Ezequiel Lima Pereira";"Juventus Futsal";2
"Eduardo da Silva Faleiro";"Juventus Futsal";1
"Douglas Kistemacher";Juventude;2
"Sergio Perin Kohls";Juventude;1
"Wellington Walker";Juventude;1
"Alisson Fischer";"Arly Hickmann/Sky";4
"Cesar Leindecker";"Arly Hikmann/Sky";1
"Jorge Costa";"TCC/Califórnia Lanches";1
"Pedro Gabriel Oliveira de Souza";"Juventus Futsal";5
"William Alex Baierle";"Juventus Futsal";1
"Roberto Kappaun Fischer";"Juventus Futsal";1
